sentence	sentence_id	locale	reason
Majina ya mahali na kina cha habari hutofautiana sana kutoka mahali pamoja hadi pengine.	56accff6d591fc6a96bf2b1561d4d8e0a8d5ccd44a82ed9e7fd4b193e1f7c2d0	sw	grammar-or-spelling
Majina ya mahali na kina cha habari hutofautiana sana kutoka mahali pamoja hadi pengine.	56accff6d591fc6a96bf2b1561d4d8e0a8d5ccd44a82ed9e7fd4b193e1f7c2d0	sw	Sentensi hii imekosa alama ,baada ya neno habari
Kuna njia mbalimbali za kupika chakula.	746e976b7e81c7e4fff34d59f0a4c2870f40be5c8bc708dca7fca977025c87dd	sw	Hamna shida
Maana hasa ni hali ya "nyongeza".	85b9391ed74e2c892d8409d434429ed771459ce5ee3ea1fcafe1a0b02cad5d05	sw	grammar-or-spelling
Maana hasa ni hali ya "nyongeza".	85b9391ed74e2c892d8409d434429ed771459ce5ee3ea1fcafe1a0b02cad5d05	sw	Alama ya nukta ilistahili kuja kabla ya alama "
Hula nyoka wengine, mijusi na mijusi-nyungunyungu.	9073a73cef7bbf6af840f89fc55e2e0eb435f232862c34166909cb3b4e8e0e03	sw	grammar-or-spelling
Hula nyoka wengine, mijusi na mijusi-nyungunyungu.	9073a73cef7bbf6af840f89fc55e2e0eb435f232862c34166909cb3b4e8e0e03	sw	Alama , ilistahili kuwekwa baada ya neno hii
Kuna aina nyingine za vitu hatari.	8b05841fe40cd1ae2306fc11943a6a7a019cd878d6a1ba65009a65234e89601d	sw	grammar-or-spelling
Kuna aina nyingine za vitu hatari.	8b05841fe40cd1ae2306fc11943a6a7a019cd878d6a1ba65009a65234e89601d	sw	Alama ,ilistahili kuekwa baada ya neno hao
Korongo hawa hawawezi kutoa sauti.	89823f2f440ebb1d24d017ebe904243b0f08c01c903fef86ba106e4cb41dbb1d	sw	grammar-or-spelling
Korongo hawa hawawezi kutoa sauti.	89823f2f440ebb1d24d017ebe904243b0f08c01c903fef86ba106e4cb41dbb1d	sw	Alama , ilistahili kuwekwa baada ya neno mashairi
Korongo hawa hawawezi kutoa sauti.	89823f2f440ebb1d24d017ebe904243b0f08c01c903fef86ba106e4cb41dbb1d	sw	grammar-or-spelling
Korongo hawa hawawezi kutoa sauti.	89823f2f440ebb1d24d017ebe904243b0f08c01c903fef86ba106e4cb41dbb1d	sw	Kuna baadhi ya sentensi zilizopuuza alama , katika uendelezaji wake
Kuna njia mbalimbali za kupika chakula.	746e976b7e81c7e4fff34d59f0a4c2870f40be5c8bc708dca7fca977025c87dd	sw	grammar-or-spelling
Kuna njia mbalimbali za kupika chakula.	746e976b7e81c7e4fff34d59f0a4c2870f40be5c8bc708dca7fca977025c87dd	sw	Alama , imepuuzwa katika baadhi ya sentensi
Unawezaje kuimba wimbo kwa kukimbia, kururuka na kuzunguka jukwaani?	b106d679fc27a26f61fb568c9cbb3431af033c013809c95b6f5c0d033dec551f	sw	grammar-or-spelling
Kwa viwango kikubwa zaidi hatari zake kama sumu ya neva ni muhimu.	d504cbe20786edfcfc4b0df8d4b49072c9f912718973fe7ec2f272fd3f003549	sw	grammar-or-spelling
Mtu, na hata mnyama, huweza kukumbuka kitu, jambo, hali, sehemu, wakati nakadhalika.	c378b96e2453e63cf600e30c51058ee010aaa96078f6a9aa9733a748243e8020	sw	grammar-or-spelling
Shule hii hana majumba.	ecc5f9da8ba583213234f2eead81a2f5c9cac58be7ef3e41f047478217bdfdce	sw	grammar-or-spelling
Katikati kuna alama ya rangi dhahabu ya taji lenye nyota saba.	8da18ba2c09cb44f5cd5e3da921a17636f7403d818be208dc6f46aa10a3fd982	sw	Nashindwa kurekodi sentensi
Moshi kutoka magari, viwanda, na vituo vya umeme pia vinaweza kuwa hatari.	70cbfe76e6c31b76a6211181758987c71c4c6cb1ee2e037c9fd2076af2a657c4	sw	sauti





Hii ni mji mdogo.	86342c8a6d4915afa6cd71e57af0401b81a60943b80e6bbc192b2b74cab41d77	sw	grammar-or-spelling
Upande wa mdomo ni nyembamba na upande wa mwisho ni pana yenye.	d4563c5358701d3e38cb85917a9bba23d75c29cd9069f3c113e0cc483d3a8c95	sw	grammar-or-spelling
Kimsingi kuna tofauti kati ya	23bda07ac752e8b1234b597b3fcc7190d07d3fe2496648a8f2cbc566e887871c	sw	grammar-or-spelling
Kwa maana hakuna mtu aliyepata ugonjwa mara ya pili, au si kwa matokeo mbaya.	a0cc3d001284168978f4541205a0f22ded514e9e5b6b2899dca53772d753165f	sw	grammar-or-spelling
Albamu ilifikia katika chati za na vilevile kushika cha za Kanada na Ireland pia.	2e0d5edcb8f94dda4d1c89d6ec8159ccf71f00c5c513d4806987582b6966db90	sw	grammar-or-spelling
Beseni lake ni beseni kubwa le bara la Afrika.	fd91c2debdba01db46bf4f9856ced27e74cb2f23b59b4051d83d5140599a6280	sw	grammar-or-spelling
Hula wadudu na tunda madogo.	fd17c1915082212e5e36955bd2b7e027cd936b896aa5c4da482a49e1c6c6f5d8	sw	grammar-or-spelling
Katika nyakati tofauti katika kipindi hiki, yeye ilikuwa iko katika pande zote za mpaka.	b013e9781a70abd2082691fc881b7d963582ce1c6bd0d5cd77920fd6848ed55d	sw	grammar-or-spelling
Yesu Kristo ndiyo ufafanuzi bora wa Unyenyekevu.	04821e75c6d63a46415a175460003313ae8f7807cb7e32ec974d3b08785d8c19	sw	grammar-or-spelling
Mto huu inajulikana tangu zamani.	31ebca6feb9421f1951fd7d725a8b80104f4bce66bf5def23ff16560abfd1c23	sw	grammar-or-spelling
Ilionekana ya kwamba mbinu huu ni rahisi lakini una hasara kama mpira ni ndefu.	41475c71cc7ba4008506a85ec75387ed270fc3bf71d1cac737072169720d3e11	sw	grammar-or-spelling
Alikuwa pia Rais wa Muungano ya Kimataifa ya Kupanga Uzazi.	19211933ba42f7443337790bd54623bfc4d6dce119e0c1ac5244b205bb22ca86	sw	grammar-or-spelling
Upande wa magharibi ni maji wa Pasifiki.	5a7793d49a712b51b9a5c88e5600552a939a2e9bab10937ff4894d8ab7c6e10e	sw	grammar-or-spelling
A benki na maduka kadhaa walikuwa kujengwa.	4cbef0c4a6693215efdee9b4f6eaa867c932b8f8295a68dd0a1fbdb0d84b253b	sw	grammar-or-spelling
Wimbo ulikuwa nafasi Na.	aba0da0b533d71d74ff448e7623badce022e07bcbbb02ad84b5b4e5635a43507	sw	grammar-or-spelling
Video ina muundo wa kama black-and-white.	016def7b4057d2a4b365f0c593f47879f9bb117d70ef2c92e1e7ecb793922493	sw	different-language
Alipata kuwa mkuu wa kwanza wa shirika hilo lote la Mt.	0a719889050e0774b4e7dd9cdeb467c9177a1072896fee9cacef4cc8ea84188e	sw	grammar-or-spelling
Beseni lake ni beseni kubwa le bara la Afrika.	fd91c2debdba01db46bf4f9856ced27e74cb2f23b59b4051d83d5140599a6280	sw	grammar-or-spelling
Said Ibn Al-`As.	fc24d699dfe9fd8a6f501aedd69230377f75ff5e2557cf457dc1e7bb5d31192d	sw	different-language
A mitaani Nairobi ni jina baada yake.	fa1b071c850712fe33b1bd3d31abaa528c489addc25b5d0ca986d8559d8f7313	sw	grammar-or-spelling
Wazo hilo linatumika pia katika siasa, falsafa na dini, kwa mfanof.	ab4e28ddf3e76cc85b18bfee9a049b1677aa13b2dc247b4769c045f45edf4d49	sw	grammar-or-spelling
Ni pia mji mkubwa wa kwanza katika jimbo huu.	9711f5d0c635cf9cb5cfc85d8102f761c9950b43480f5051ed47be56c53001d9	sw	grammar-or-spelling
Ndilo lambo ambalo ni asili ya sehemu kubwa ya umeme wa taifa.	a70e649786c92264a03c6db1d802fbce2e7ae0e9bf3bb231f256ca049f71be7f	sw	grammar-or-spelling
Kwa viwango kikubwa zaidi hatari zake kama sumu ya neva ni muhimu.	d504cbe20786edfcfc4b0df8d4b49072c9f912718973fe7ec2f272fd3f003549	sw	grammar-or-spelling
Isichanganywe na Kisenoufo-Syenara nchini Mali ambayo ni lugha tofauti.	b9a105447852ee3f32483d0dcc3fefb1f0cc328f57e2e65e6e22dbd92a3cf162	sw	difficult-pronounce
Mwenye kujihusisha ma mipango mingi tu mjini pale, Bagamoyo.	9326c42bfe17a40ca56ab55431c87395cce3f270c5363630abc9654494a68595	sw	grammar-or-spelling
Wanaheshimiwa na Kanisa Katoliki na Waorthodoksi kama watakatifu wafiadini.	e2b172f066d48b676c1dcc94719f7e30cd775693fc94a8c04faf958134517bfb	sw	difficult-pronounce
Antoni wa Mt.	08ac9a5830f8744d661422e1f620a7f207e457e5aa2685de31b7a331eab8f7d8	sw	grammar-or-spelling
Sala kwa Mt.	df18dcfe3b0137c1ac8939057ea45c1e95c7ccd3f2b36768eb33282a07f40863	sw	grammar-or-spelling
Hapo awali alikuwa Jaji Mkuu, wakati huo Bw.	fe20e5ccfe8c38633f4204c2e454858fa196e2351ba7bb1f20e65cf224dc5e26	sw	grammar-or-spelling
Mshindi ni mchezaji ana mbegu mingi kwa nyumba yake.	1ecbf0e0a646acdd501d5737a86b72d25d9881d70f5a0a56a0e7a14d5c6c14bf	sw	grammar-or-spelling
Kwanza alijiunga na monasteri ya Mt.	df82c8727fe99669ca141d297d99fead31ea1d3341ce1fb229d717c086cbde3c	sw	grammar-or-spelling
Pamoja na Mt.	1bf5fbf1e2039ec6b9b4b67d3a452bfc844f563b95e6b3246169c935fe2750b5	sw	grammar-or-spelling
Kufanya kazi na Mawasiliano ya Mtech kwenye chapa ya Vibedownloads kwa miaka mitatu.	2c58186c22d31e053b3de1f9c803db555eeaf73b518bff74e92a15825f58815c	sw	grammar-or-spelling
Arndt watoto wawili wa kiume na mmoja wa kike.	21dd1219ae513d01e45e3e5163c1d1a7d45ed355d287d9e832236a0d73e32d34	sw	grammar-or-spelling
Spishi za zinatokea Afrika chini ya Sahara.	2f60415758c10a8bac0413033d7b18486d04f90ae747ec85afbc97fddedbb571	sw	grammar-or-spelling
Wanatokea misitu wa Afrika kusini kwa Sahara.	378bef2311dd759b02f08dfd3464ccf706df6dbfeb679b4e492e5554205fda6c	sw	grammar-or-spelling
Wimbo huu huhesabiwa kama alama ya Nature.	3a4d1cddb7a1a55e8a1dc4af0613882d8ca9f40546b1baddc76db73dace81795	sw	different-language
Ukristo nchini Tanzania ulianzishwa na wamisionari wa Shirika la Mt.	33402537d12b08b33027bb003ec579373d89545a2d381a6b91615630910b024d	sw	grammar-or-spelling
A benki na maduka kadhaa walikuwa kujengwa.	4cbef0c4a6693215efdee9b4f6eaa867c932b8f8295a68dd0a1fbdb0d84b253b	sw	grammar-or-spelling
Waliobaki ni Wakristo, Wayahudi, Wahindu au hawana dini yote.	5dfe9e3dee9b0f74019d478402d6a9da9f0256acb9da17a9fe737a86b0e50c76	sw	grammar-or-spelling
Akapata cheo cha Ph.	4ba025ecae128ef061481315a4a90dc2e9f75e693a3ec31ecfcf340780a14db7	sw	grammar-or-spelling
Aliuawa na mtawa mbaya aliyekuwa ameafukuzwa naye.	5d88074ebe02fa284314a5dc19e3d1972512f102f067c2fceebec69537d9e995	sw	grammar-or-spelling
Mkoa huu una wilaya za	e54dae584b8a68f0f4a6c137651903a22011db4837b95e1d42c927f99772da43	sw	grammar-or-spelling
Alianzisha mashirika ya kitawa ya Mabinti wa Mt.	df90eb8653cb25a579becaf8325b52797dd3b5383f4335480bf4cbc0d8923333	sw	grammar-or-spelling
Shule ya Sekondari ya wasichana ya Mt.	e0f82ce8583b7b7bbfb105c9f6188d9a6e74e93a08ff136b998da08ef8285ccc	sw	grammar-or-spelling
Ilikuwa kituo cha posta na pia cha kikosi na.	f12bc443bc6bc65c3d816376a7e7a49f4599c3b7cccf13b3274f08cac384b130	sw	grammar-or-spelling
Kisha kuchaguliwa mtumishi wa kanda ya Mt.	ff797c216d8b936f9260065468e5ef2a96aa65138219c0e872ca19d2eecfa66c	sw	grammar-or-spelling
Katika mapambano hayo alifuata mapokeo ya Mt.	2a76aeacde10016204d3e4ec2d95d7d0ee8579500a40575df9c735b38f330125	sw	grammar-or-spelling
Alijiunga na Chuo Kikuu cha Mt.	5a4a792a1aee07560ba4243280b2fea49985a1c28a6e5b3537eb49abf9572e60	sw	grammar-or-spelling
Jukwaa la je pia lipo kwa mashabiki wenye mahitaji muhimu.	520a07e9dc408d685897e71d38466b554fc887103c321196b8ff0f7420320381	sw	grammar-or-spelling
Mwanasheria wake Bw.	61b4607a3f1b7c43bfcfd6443f4e315953436519aec666a5aaa51a982d1850bc	sw	grammar-or-spelling
Mkondo wa maji vuguvugu unapita humo kutoka kusini kuelekea kaskazini unaoitwa kwa Kijapani "Tsushima-kairyū".	a8f6c312de83a08f959b08432f0ee9379d29847fca81e958c3362d6b4bf3ade8	sw	difficult-pronounce
Chuma kina faida kadhaa juu ya shaba, kuni, na jiwe.	ebb4c125ff118c31f121c620bd14dc358120bce903e2fa118d48cbed77b40e71	sw	Inasema niitume tena sauti
Yeye ana alishinda tuzo nyingi.	7ded4912fb5785b5e8158a915a81e0b52bca29dc187dbbd8fcb4d93d29259d33	sw	grammar-or-spelling
TisaFarenc Puskas	7338886e3d74529163800957f0038a48d14d2dd82af0e9a2a87a922eb38bad09	sw	different-language
Bani Umayyah Bani al Muttwalib Bani Zuhrah Bani Taym Bani	cd1b44159af0452063b8496babc777d68143bb589b772093fcd3ef021fab3c49	sw	different-language
diego maradona wa argentina alikuwashikika hashikiki	df7f83fcfaebb6c1f0cadeb9d5ca067f4f0e5dda244cd01240cc9c928915294b	sw	grammar-or-spelling
Sehemu kubwa wa Serengeti hapo awali ilijulikana Kama Maasai land	898214be85a8233193877db2a5915409f71c323d952f989a31f4baaf400c7cf9	sw	grammar-or-spelling
kwa mfano hachikungigwa kudya mbara unadya au unagonela umkota wa mbara wabambuka	907f3e32baee2d3cb2876c77d1ea62a8d154c0b01889783eb68c1d33072a4a64	sw	different-language
Hukamata bila kutumia chochote zaidi ya mikono yao	b4e9bb8e46d2b7c942f75a8defe34ac1335c682a2e05311d42d8310aac35a366	sw	Nataka kujua nimerekodi idadi gani ya maneno 
Watanzania tumejaliwa kuwa wakalimu kwani mataifa mbalimbali wanakuja kujifunza lugja yetu	0553a8593c49a6a700291fcb0fadb734b101e9fd6bde765e3d4cce864e13882b	sw	grammar-or-spelling
Vyuo vingi nchini Tanzania wamekuwa wakiwataaa watu wenye ulemavu	28ffc56bf54af5fed4b8a7dcab46c870d427310d653739b260f9af0c265f2d09	sw	grammar-or-spelling
ndiyo maana anamechagua aina tofauti ya soka	e82bcf3efe7cb71d2592ae96f326eb62c85fc00d64745da67c520753897b7f03	sw	grammar-or-spelling
Padre Stenger aliiambia shirika ia utangazaji la Ujerumani	0dbd2e9bc6e7b3dc33bd3ce204203e8f493237f90c745907659c9d5aeb3b6f49	sw	grammar-or-spelling
ni mchezaji wa mpira wa miguu wa Tanzania katika klabu ya Feberbahce nchini	0b157a9b1234d08a80f17e7391ebceeb8c9cd1cd5719257404054a72d49ef1cf	sw	grammar-or-spelling
Sehemu ya Bonde la Ufa kama Bonde la Oltupai	07e6563c50c81d201ec2f2a6221a2aff3c8348e1d10075c7f75850130d9735ad	sw	grammar-or-spelling
Bidhaa zilizokuwa zinazingizwa nje zilipugua kiasi cha kuathiri uchumi	1ea494d2bf415bcbf6529dbccc0e2968f4b16ea6c7d0c0421091e50bb253e810	sw	grammar-or-spelling
Chifu Mwene Ngalu alijaliwakupata watoto saba	3a026e80858d002a3cfdcc9cec92852f9a1f4643d402d4c4ad91c216d596b66e	sw	grammar-or-spelling
Katibu wa Chama cha Mapinduzi mkoanu Mara ni Shaibu Ngatiche	3b0019db601e050f704bebe5cc0fb04407fe288b93991971b885d03001291914	sw	grammar-or-spelling
Karibu kuwatemelea Wahadzabe na ujue kuusu utamaduni wao	3a592984b1cb13529c46ad94ef8c6ee7588cd7b87135a957c24ca1a9f6da9567	sw	grammar-or-spelling
Asubuhi hiyo kichwa cha bi harusi unyolewa na hupakwa mafuta ya kondoo	3b883eb74a5c892b50b5796b8381c5d0393a4337e7107e843734d1aeca7af59e	sw	grammar-or-spelling
idadi hiyo ilikuwa kubwa kuliko hile ya waliyotangazwa na jumla ya viongozi wote	27fa04cdced433ad336e89e2a11947a46484067f9e871f13e33505bcfda2a25f	sw	grammar-or-spelling
Ya kuvua saamki na zimetoa ajira kwa maelfu ya watu	3d70d2ef6c205bcd5463f0d0d2b1ccd6c2d5fda667f1d934b480d2bf4487352f	sw	grammar-or-spelling
Vita ya kawaida inatumia nguvu ya kijeshi	31457d7ddd1d35d7400c5a04b88149ba87c35b3feb4ffece7c48b60bca045691	sw	grammar-or-spelling
Baadae Mandela alihitimu masomo yake ya sheria katika Katika chuo kikuu	3bbbc381899853d3659f289c720e958d89afc932bb37aa16c63e84f8495e14f4	sw	grammar-or-spelling
mandela alijiunga na chama cha siasa chaaAfrican kusini	420bfcdeab630cfbe8e6d9ebd0cbfcdb64baccd120eab19873a2db6d2301ead2	sw	grammar-or-spelling
Pia ziwa hili limerahisishsa na kupunguza muda na gharama za kutoka Tanzania	3ad280862cb851dfc995debe1b48a36612ec2e7c99870321e8453b154706901a	sw	grammar-or-spelling
Alizliwa keneth Kaunda kutoka nchi ya jirani ikijulikana kama Malawi	7c45fc4a59c3a78049f14bf714d9a6ab7dc000765af125a22a375f3d468aa145	sw	grammar-or-spelling
albert alifariki kwa ajari ya gari	85557cc3f071b6072f1e4b9b52c4852a105fa8c83bed6c31313193b022fb386f	sw	grammar-or-spelling
Waliekea katika mabonde yenye rutuba ya mto Tana katika visiwa vya Shupate na Shungwaya	74bbc77bd864e2e65b62fda48dd0656892b7a2b54552523047cb3d5d7d845624	sw	grammar-or-spelling
kunesemekana kuwaka moto wakati wa usiku bila kujulikana mtu aliyeuwasha	8934eada9bd6a5129b87416c51a803855294f670cd0a1e0a8fd94be46437f03f	sw	grammar-or-spelling
kampeni za uhuru pamoja na utawal wa kidemokrasia	8a07f933e70157aa4db7f4ac969dfbda3bba32dd79ba773a5540ce028ed9c220	sw	grammar-or-spelling
wawekezaji wengi walikuja kuwekeza nchin tanzania	85507f449fc800385e891b2ab23a93cab1b24f6c55ce766d62ef617f34a8f4ba	sw	grammar-or-spelling
Hifadhi hii ya Katavi inasifika kwa kuwa na idadi kubwa ya Mamba na voboko	84875dfb17b59efe77a3d3c5254eff9560e354f6adee1f125684e2ce45155480	sw	grammar-or-spelling
Katika maeneo kama Chome Mbaga na Vudee yana waumini wengi wa kanisala la Kiluteri	88bb45850b979b47de2cd5d5fcc9da1e166765df371cedccfe886dc6c4d76ca8	sw	grammar-or-spelling
Mfano zawadi kama zogoro dya chunji koti dya sachibwela ngubula mlomokisingisa magutwi  kumwonelahi	fb5eac0ce18cde53106e79bf8393c0cfcbc9fe178804f0018c3401930ed4a267	sw	different-language
wakati mwingie yawezekana ya kutengenezwa na binadamu kama majengo viwanda nakadalika	abe1543de22cbd4cc1c483309ffefc8bcf9d43a5b6a77302a781ba60b71b43a3	sw	grammar-or-spelling
Ukapelekwa katika nchi ya Ubelgiji na mapaka sasa mwili huo haujaweza kurejeshwa	a857ca8b8388cb87a5eab61f297a7e550a1db04a70aecd5fa459bfbd9938aadd	sw	grammar-or-spelling
kwa mfano hachikungigwa kudya mbara unadya au unagonela umkota wa mbara wabambuka	907f3e32baee2d3cb2876c77d1ea62a8d154c0b01889783eb68c1d33072a4a64	sw	different-language
huanzia kwenye familia bora inayomtukuza mwenyezi mungu kwenye shida na raha kuna	ac52fe69e3e8ae0f8e990df024792235fa06bf5923b89c55aa5466b95c292c92	sw	grammar-or-spelling
mchezaji bora wa michuano ya alikuwa mwingereza	afc481a60958d66c9d9bb6f5cbea8a620454fffc7f039c5a51ea63100a61b8bb	sw	grammar-or-spelling
Ambao niatu ambao zaidi ni jamii ya kabila la wamaasai	b07db2673d9d3692df6293ce6085f1e423a46ed657a27d0eaa041b0aab100121	sw	grammar-or-spelling
Mwandishi huyo ambaye ameachiwa kwa dhamana leo mchana ameungwanishwa katika kosa moj	b979c0d2b99405032afb462df8c3de7b5b8d8e924c7a341068da49bea0075a6c	sw	grammar-or-spelling
Sango ya mawa ya Papy Texaliyekuwa rafiki yake wa karibu	b75449f48c95d9473d27b1055626743a8a9e29bb1f500bc1ea3e1262cd018bc3	sw	grammar-or-spelling
Ili kuwa na afya bora na imara ni vyema kula vyakula vyenye mchangmchanganyiko	b98eccfdb8a0a7b9b006ac50204880961a4f0425db514152b4c81532f384f089	sw	grammar-or-spelling
Reli hiyo ilichukua nafasi ya njia ya misafara kutoka Bamgamoyo  kuelekea Ziwa Tanganyika	ac52528906ce8611748af8da6e40b2b424efe0319ddb5a219f1f6eeed177613c	sw	grammar-or-spelling
Engai Nanyokie mungu Mwekundu ana ghababu	9ffd634ba3acf68ec11f274f86e27814ac4d9d9fa12c4458e1fb1a694e512ec1	sw	grammar-or-spelling
utamuduni ni jinsi wanavyoishi vyakula mavazi malezi na mengineyo	c3aa72e8a7e88512b3368d80f03cdbe302827ae7e5d2322f75f6ce58f05eac4f	sw	grammar-or-spelling
uingereza  mara nyingi wanakosa timu bora yenyewe uwezo wa kushindana na mataifa mengine	cd87dd82cd9beb05bce27587563f2c7eddc4a68f983e0ac3c669ec4d6125fa20	sw	grammar-or-spelling
Lilitenhanishwa kujitegemea kutoka Serengeti mwaka elfu moja mia tisa hamsini na tisa	e57c53e21ced591bb832586f12ced01f7d2afa56e7716dac26e39e9fcd37d58b	sw	grammar-or-spelling
Sithole Guerrillas Fly to Amin for Training	a6e1ba43c70598f51c1e49656aa9ea33059ec51fffd9909472ded5d2eb04f97d	sw	different-language
Bwana Pozzo aligundua kuwa kwa kuvuta washgambuliaji wawili nyuma angefanikiwa kupata mahitaji aliyoyataka	ec9b831109c0628fd99b2515aae260afb6e72b3ad2050982cc0f14298ca49803	sw	grammar-or-spelling
Wamalila na Wamambwe pi Wamanda na Wamanyema	e8728311933de27408acdba31daffda6685a534a0b7916ad2b8b33ca3aa5695c	sw	grammar-or-spelling
Jambo hilo lina kero zake vizuizi visovyo na ushuru vinaweza kusababisha mahusiano mabaya	ef010351fa55c004b1c918b1f21f6f6bbba46dff64c59badb0ca42ca32c1dad0	sw	grammar-or-spelling
This person who are selling things are maching guy	b2c27ca26996dd8fa6e60dd1a53adec5462382b88b06f2890096da0b20cc2ad7	sw	different-language
nyingi duniani nchi nyingi zimekuwa na machafuko ya kivita na zenye	f2fb4ec209ba1d3d3761459d568dcad8acc0886c950f39704fe81ce3855e9e5c	sw	grammar-or-spelling
mlango wa sasa yako unakutana na mambo mazuri	ecbe669ac54caf61ea5f7cb63aa5f66bbee0cef658ffbd3f74a2deeaa867b2b6	sw	grammar-or-spelling
Mpambano hayo yalichukua mda mrefu sana kwa sababu	1ade80589d85b3b0da4ee7e55a02707697ce07a8e8ccc4f5bd4b4ac0fcc9a6ae	sw	grammar-or-spelling
kila mtu alimini jeshi la guardiola litapindua meza kibabe	fca20e5ef56bbecff616de4d2d7525253e6599e90063d2dca5f000b485d5702a	sw	grammar-or-spelling
Rayvanny afunguka kwanini hakumuiga Harmonize kujitoa Wasafi	1f8ad1db7f6c6e8c2ab28d20276d5633bcd61c38013e39504292de3e8e7ece8a	sw	grammar-or-spelling
Bidhaa zilizokuwa zinazingizwa nje zilipugua kiasi cha kuathiri uchumi	1ea494d2bf415bcbf6529dbccc0e2968f4b16ea6c7d0c0421091e50bb253e810	sw	grammar-or-spelling
Wanaweza kumwaambukiza watoto wakati wa ujauzito kujifungua au mara kadhaa wakati wa kuwanyonyesha	06770229a4a5a242580e8bb0a751ffe382dc976abf17b5a86b847f04f1776363	sw	grammar-or-spelling
Kama hauna kitu utapigwa sana na ndugu wa mtoto wa kike	1b239dfaedf174f0af88ad5cae2ae1365ccb38c2556db41f5cf1cbf35178a7de	sw	grammar-or-spelling
Ni mtoto pekee ya kiume katika familia ya mzee Salum yenye watoto watatu	2352aa54ae5cc911e83afb0e749063812a1aeac8770b6319dfcdb4846900e29a	sw	grammar-or-spelling
maporomoko ya rusumo yapo njiani kwenye dajara linalounganisha nchi ya tanzania na rwanda	1f40afc575c23deebb9463342af19d10e4171f3b59fcb84d665ba69fb021d513	sw	grammar-or-spelling
Hii labda ilisababishwa baridi na na utomvu utokanao na fangasi	25241d4eb8c61d1a81a7f8056b804660f885332533da927aaefe5c8a553353ae	sw	grammar-or-spelling
Jamii mpya ya aina ya kwale iligunduliwa  wa Udzungwa zinazofanya	49294b76c71a57d987fb636dd6e0ba5bb475cbd358b0f951248a6979a01c818b	sw	grammar-or-spelling
mlugulu alipomuoa binti wa mzulu waligitenga kidogo kutoka walipoishi mwanzo	47139dcc73480c9e1b9a5a6bba4ec81c5afc6afc9c380b9d06e9a70c40bd27a1	sw	grammar-or-spelling
Mtu kupatwa na hali hizi mathalani inapotokea mfumo wake wa mmengâenyo wa chakula umevurugika	2c6253a93301eeab94a78b802ccc8fad037678a732c5f378b0f395e4198ba734	sw	grammar-or-spelling
Vilivyoongozwa na Robert Gallo na  bila kutegemeana vilitangaza kuwa kirusi hiko kimezidi kushamili	4b16812a0ad21dc04b731e8686598ccb559604940ed856afa22433caa8bf9b8e	sw	grammar-or-spelling
Na kukamiliaha jumla ya siku kumi na tisa alizokuwa akipigania uhai wake	4cfd6a236cf5ca5d156440e16c345708d7620cb4608449c1f3ae97112fc4cc21	sw	grammar-or-spelling
Hukuweza kuonyeaha wazi wazi ama kwa hakika najivuni kuwa ua zuri la thamani	4cdb934ae658a00481b69faccc59d5dda36b5e5c5874e159df773aff7c035e3f	sw	grammar-or-spelling
NneChristiano Ronaldo	57b0e64359aeb248479731b3b257d4330f5fe4ef9622db0330e5458b0ada2448	sw	grammar-or-spelling
