client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
0db4a397cb09ccb24b6eff667d8939849198d25a98a11f0989c6b39076f565c46bdcadc678583eea57da3d810d15159c8c2796277b08c74956f08956d263aa4d	common_voice_sw_32214418.mp3	Pochi hii alapsechi echu ikikamilika asari takuva ningii kichoveo cha papa itakuva ni mwanadamu.	0	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32239842.mp3	Vana vechu siku hidhi ukitaka kuvavaka mpaka mahari ave makuru.	3	3				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32239856.mp3	Wataarifu wezi wenzako waliopo kule watoke	2	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32239870.mp3	Tabia si sura ni tabia	0	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32240048.mp3	Choma ya kuchoma si ndio	1	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32240148.mp3	Wachu wadodi wadodi hupenda kupiga wenthao masheke	0	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32240150.mp3	Mmoya aliovuka pwani alichofwa na ishadha iguuni	2	3				sw	
49d5bef182274e2d409c9256678cc2f4e394ca94f7f518dbb10f2a3de06a0a57d9f5512731507b32dfe75d605c9537bc6fc817b0fa672e8690569084b0733381	common_voice_sw_32242546.mp3	Meli ya MV. Spice yezama mwaka 2011	0	2				sw	
0db4a397cb09ccb24b6eff667d8939849198d25a98a11f0989c6b39076f565c46bdcadc678583eea57da3d810d15159c8c2796277b08c74956f08956d263aa4d	common_voice_sw_32261843.mp3	Pochi hii alapsechi echu ikikamilika asari takuva ningii kichoveo cha papaa itakuva ni mwanadamu.	0	4				sw	
ca09d3539aab4181ea9cae3eddf72c201d55815c560a3e7d424921619a265610cd5e60d128883b27b8bdb899cb6898050d06e468512c3eff200f6de0eb67835e	common_voice_sw_32264943.mp3	Valipachikana vachu vavili vadheme baharini	1	2				sw	
0ac2b2e3e44a446fb9f6989da2b67a98ea65b963ef35ead4665c80b940729a466147d5a73248ae8a922448ce5965fd5a9b81f1d18fb91ebf52807016cc742353	common_voice_sw_32324038.mp3	Meli ya MV. Spice yezama mwaka 2011	0	2	thirties	male		sw	
1e4b380e964ac30ff674ad270587c490d602a633472d9b2098af31e93bfbd050281ef2b57441afb1ed5b72c15f0d051492a8ccc626a1eb16c026bc2ab6e89033	common_voice_sw_32340184.mp3	Meli ya MV. Spice yezama mwaka 2011	0	2				sw	
